Price (dollars),Discount (dollars),Length of Course (hours),Number of Users,Company Administrators (percent),Company Instructors (percent),Company Learners (percent),Company Rating (average),Quiz Grade (average),Completed Quizzes (percent),Graded Assessment (percent),Not-Graded Assessment (percent),Content (percent),External (percent),Interactive (percent),Uses SCORM (yes/no),Milestone Course (yes/no),Certificates (percent),Collaborations (average),Teacher Comments (average)
0.0,0.0,0.6708333333333333,5.0,66.7,0.0,33.300000000000004,89.0,81.0,66.7,10.7,10.7,78.60000000000002,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,122.32361111111106,247.0,20.0,40.0,40.0,79.0,89.0,50.0,0.0,0.0,90.0,0.0,10.0,0,0,0.0,0.0,0.0
0.0,0.0,0.3038888888888889,4.0,66.7,0.0,33.300000000000004,89.0,100.0,100.0,4.3,4.3,91.3,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.2058333333333333,1.0,25.0,25.0,50.0,86.0,97.0,100.0,37.5,0.0,50.0,0.0,12.5,0,0,0.0,0.0,0.0
0.0,0.0,10.610555555555557,68.0,33.300000000000004,33.300000000000004,33.300000000000004,86.0,86.0,50.0,15.0,0.0,0.0,85.0,0.0,0,0,29.411764705882355,0.0,0.0
0.0,0.0,384.8413888888888,599.0,50.0,0.0,50.0,90.0,100.0,50.0,0.0,17.5,79.7,2.8000000000000003,0.0,0,0,29.04841402337229,0.0,0.0
199.0,0.0,5.732777777777778,53.0,20.0,40.0,40.0,79.0,100.0,50.0,0.0,3.8,96.2,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,50.0,0.0,50.0,90.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,778.4797222222223,603.0,50.0,0.0,50.0,90.0,80.0,50.0,11.2,9.4,77.9,1.4,0.0,0,0,28.689883913764515,0.0,0.0
199.0,0.30845,14.281388888888893,54.0,20.0,40.0,40.0,79.0,100.0,50.0,0.0,5.9,94.1,0.0,0.0,0,0,1.8518518518518519,0.0,0.0
0.0,0.0,0.6113888888888889,4.0,33.300000000000004,33.300000000000004,33.300000000000004,86.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
299.0,0.7220399999999999,2827.208333333333,1053.0,33.300000000000004,33.300000000000004,33.300000000000004,86.0,77.0,50.0,35.2,0.0,10.9,53.90000000000001,0.0,0,0,12.345679012345679,0.0,0.0
0.0,0.0,0.4702777777777778,4.0,66.7,0.0,33.300000000000004,89.0,75.0,100.0,11.8,11.8,76.5,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.8694444444444445,5.0,66.7,0.0,33.300000000000004,89.0,84.0,66.7,9.3,7.000000000000001,76.7,7.000000000000001,0.0,0,0,0.0,0.0,0.0
0.0,0.0,1.4886111111111109,10.0,66.7,0.0,33.300000000000004,89.0,86.0,50.0,11.1,11.1,77.8,0.0,0.0,0,0,10.0,0.0,0.0
0.0,0.0,0.3913888888888889,5.0,66.7,0.0,33.300000000000004,89.0,74.0,100.0,12.8,7.7,79.5,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,105.43666666666668,6.0,25.0,25.0,50.0,86.0,89.0,50.0,0.0,0.0,90.9,0.0,9.1,0,0,0.0,0.0,0.0
49.0,0.11371400000000001,4.8575,16.0,33.300000000000004,33.300000000000004,33.300000000000004,86.0,84.0,50.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.31692800000000004,311.2025,269.0,20.0,40.0,40.0,79.0,73.0,50.0,6.6000000000000005,0.0,93.4,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,78.01333333333334,300.0,20.0,40.0,40.0,79.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,145.74944444444444,212.0,33.300000000000004,33.300000000000004,33.300000000000004,86.0,89.0,50.0,49.8,0.0,50.2,0.0,0.0,1,0,0.0,0.0,0.0
0.0,0.0,811.3291666666668,732.0,50.0,0.0,50.0,90.0,100.0,50.0,0.0,5.5,94.5,0.0,0.0,0,0,0.0,0.0,0.0
6.96,0.0,0.7094444444444444,4.0,33.300000000000004,33.300000000000004,33.300000000000004,92.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
199.0,1.5,9.853333333333332,53.0,20.0,40.0,40.0,79.0,100.0,50.0,0.0,11.9,88.1,0.0,0.0,0,0,1.8867924528301887,0.0,0.0
